ref_name,rx_name,vaccine_name,timing,dosage,cumulative_group
Wang21g,BBIBP-CorV,BBIBP-CorV,NULL,NULL,BBIBP-CorV
Wang21g,CoronaVac,CoronaVac,NULL,NULL,CoronaVac
