ref_name,rx_name
Ku21,CoV2-06
Ku21,CoV2-14
Ku21,CoV2-06+CoV2-14
Huang21,ZF2001-serum-012
Huang21,ZF2001-serum-014
Huang21,ZF2001-serum-024
Huang21,ZF2001-serum-082
Huang21,ZF2001-serum-088
Huang21,ZF2001-serum-102
Huang21,ZF2001-serum-135
Huang21,ZF2001-serum-153
Huang21,ZF2001-serum-154
Huang21,ZF2001-serum-233
Huang21,ZF2001-serum-290
Huang21,ZF2001-serum-308
Huang21,BBIBP-CorV-serum-867
Huang21,BBIBP-CorV-serum-850
Huang21,BBIBP-CorV-serum-848
Huang21,BBIBP-CorV-serum-875
Huang21,BBIBP-CorV-serum-841
Huang21,BBIBP-CorV-serum-843
Huang21,BBIBP-CorV-serum-844
Huang21,BBIBP-CorV-serum-856
Huang21,BBIBP-CorV-serum-851
Huang21,BBIBP-CorV-serum-890
Huang21,BBIBP-CorV-serum-845
Huang21,BBIBP-CorV-serum-869
