ref_name,control_iso_name,iso_name
Wuhan-Hu-1 Spike,B.1.1.7 Spike
Wuhan-Hu-1 Spike,B.1.351 Spike
Wuhan-Hu-1 Spike,B.1.617.2 Spike:142D+417N
Wuhan-Hu-1 Spike,BA.1 Spike
Wuhan-Hu-1 Spike,BA.2 Spike
Wuhan-Hu-1 Spike,BA.2.12.1 Spike
Wuhan-Hu-1 Spike,BA.4/5 Spike
Wuhan-Hu-1 Spike,BA.1 Spike:+376A+405N+408S+452R-446S+486V-493R-496S-547K-856K-981F
Wuhan-Hu-1,B.1.1.7 full genome
Wuhan-Hu-1,B.1.351 full genome:-80A-246I
Wuhan-Hu-1,B.1.617.2 full genome:142D+682Q
Wuhan-Hu-1,SARS-CoV-2/human/BEL/rega-20174/2021
Wuhan-Hu-1,Omicron/BA.2 full genome:-27del+27S-142D-440K+683W
Wuhan-Hu-1,Omicron/BA.4 full genome:3G-658S
