ref_name,control_iso_name,iso_name
Francica23,B.1 full genome,B.1.1.7 full genome
Francica23,B.1 full genome,B.1.617.2 full genome
Francica23,B.1 full genome,Omicron/BA.1 full genome
Francica23,B.1 full genome,Omicron/BA.1.1 full genome
Francica23,B.1 full genome,Omicron/BA.2 full genome
Francica23,B.1 full genome,Omicron/BA.2.12.1 full genome
Francica23,B.1 full genome,Omicron/BA.5 full genome
Francica23,S:614G,B.1.1.7 Spike
Francica23,S:614G,B.1.351 Spike
Francica23,S:614G,B.1.617.3 Spike
Francica23,S:614G,P.1 Spike
Francica23,S:614G,BA.1 Spike
Francica23,S:614G,BA.1.1 Spike
Francica23,S:614G,BA.2 Spike
Francica23,S:614G,BA.2.12.1 Spike
Francica23,S:614G,BA.4/5 Spike
Francica23,S:614G,BA.2.75 Spike
Francica23,S:614G,BA.4.6 Spike
Francica23,S:614G,BA.4.7 Spike
Francica23,S:614G,BA.5.9 Spike
Francica23,S:614G,BA.2.75.2 Spike
Francica23,S:614G,BF.7 Spike
Francica23,S:614G,BQ.1 Spike
Francica23,S:614G,BQ.1.1 Spike
Francica23,S:614G,XBB Spike
Francica23,S:614G,XBB.1 Spike
Francica23,S:614G,XBB.1.5 Spike
