ref_name,control_iso_name,iso_name
Rossler22b,hCoV-19/Italy/TAA-MUIV-0135/2020,hCoV-19/Austria/MUIV-0140/2021
Rossler22b,hCoV-19/Italy/TAA-MUIV-0135/2020,hCoV-19/Austria/MUIV-0002/2021
Rossler22b,hCoV-19/Italy/TAA-MUIV-0135/2020,hCoV-19/Germany/BY-MVP-000005870/2021
Rossler22b,hCoV-19/Italy/TAA-MUIV-0135/2020,hCoV-19/USA/NY-MSHSPSP-PV29995/2021
Rossler22b,hCoV-19/Italy/TAA-MUIV-0135/2020,hCoV-19/Austria/MUIV-0231/2021
Rossler22b,hCoV-19/Austria/MUIV-0231/2021,hCoV-19/Italy/TAA-MUIV-0135/2020
Rossler22b,hCoV-19/Austria/MUIV-0231/2021,hCoV-19/Austria/MUIV-0140/2021
Rossler22b,hCoV-19/Austria/MUIV-0231/2021,hCoV-19/Austria/MUIV-0002/2021
Rossler22b,hCoV-19/Austria/MUIV-0231/2021,hCoV-19/Germany/BY-MVP-000005870/2021
Rossler22b,hCoV-19/Austria/MUIV-0231/2021,hCoV-19/USA/NY-MSHSPSP-PV29995/2021
