ref_name,control_iso_name,iso_name
Doria-Rose21,S:614G,S:18F+80A+215G+242del+243del+244del+246I+417N+484K+501Y+614G+701V
Doria-Rose21,S:614G,BA.1 Spike
Doria-Rose21,WA1,B.1.351 full genome
Doria-Rose21,WA1,hCoV-19/USA/GA-EHC-2811C/2021
Doria-Rose21,S:614G,B.1.617.2 Spike
