ref_name,control_iso_name,iso_name
Miyakawa21b,S:614G,B.1.621 Spike
Miyakawa21b,S:614G,B.1.1.7 Spike
Miyakawa21b,S:614G,B.1.351 Spike
Miyakawa21b,S:614G,P.1 Spike
Miyakawa21b,S:614G,B.1.617.2 Spike
Miyakawa21b,S:614G,C.37 Spike
