ref_name,control_iso_name,iso_name
Bouzidi23,Wuhan-Hu-1,B1
Bouzidi23,Wuhan-Hu-1,B2
Bouzidi23,Wuhan-Hu-1,B3
Bouzidi23,Wuhan-Hu-1,A1
Bouzidi23,Wuhan-Hu-1,A2
Bouzidi23,Wuhan-Hu-1,A3
