ref_name,control_iso_name,iso_name
Mykytyn23,B.1 full genome,B.1.1.7 full genome
Mykytyn23,B.1 full genome,B.1.351 full genome
Mykytyn23,B.1 full genome,P.1 full genome
Mykytyn23,B.1 full genome,P.2 full genome
Mykytyn23,B.1 full genome,B.1.617.2 full genome
Mykytyn23,B.1 full genome,AY.4.2 full genome
Mykytyn23,B.1 full genome,C.37 full genome
Mykytyn23,B.1 full genome,B.1.621 full genome
Mykytyn23,B.1 full genome,Omicron/BA.1 full genome
Mykytyn23,B.1 full genome,Omicron/BA.2 full genome
Mykytyn23,B.1 full genome,Omicron/BA.5 full genome
Mykytyn23,B.1 full genome,Omicron/BQ.1.1 full genome
Mykytyn23,B.1 full genome,Omicron/BM.1.1.1 full genome
Mykytyn23,B.1 full genome,Omicron/XBB.1 full genome
