ref_name,control_iso_name,iso_name
Aggarwal22,hCoV-19/Australia/NSW2715/2020,hCoV-19/Australia/NSW2713/2020
Aggarwal22,hCoV-19/Australia/NSW2715/2020,hCoV-19/Australia/NSW-R0066/2021
Aggarwal22,hCoV-19/Australia/NSW2715/2020,hCoV-19/Australia/NSW4463/2021
Aggarwal22,hCoV-19/Australia/NSW2715/2020,hCoV-19/Australia/NSW4318/2021
Aggarwal22,hCoV-19/Australia/NSW2715/2020,hCoV-19/Australia/NSW4605/2021
Aggarwal22,hCoV-19/Australia/NSW2715/2020,hCoV-19/Australia/NSW3646/2020
Aggarwal22,hCoV-19/Australia/NSW2715/2020,hCoV-19/Australia/NSW1508/2021
Aggarwal22,hCoV-19/Australia/NSW2715/2020,hCoV-19/Australia/NSW-R0187/2021
Aggarwal22,hCoV-19/Australia/NSW2715/2020,hCoV-19/Australia/NSW-R0206/2021
Aggarwal22,hCoV-19/Australia/NSW2715/2020,hCoV-19/Australia/NSW4431/2021
Aggarwal22,hCoV-19/Australia/NSW2715/2020,hCoV-19/Australia/NSW3629/2020
Aggarwal22,hCoV-19/Australia/NSW2715/2020,hCoV-19/Australia/NSW-RPAH-1933/2021
