ref_name,control_iso_nam,iso_name
Ueno22,hCoV-19/Japan/TY-WK-521/2020,hCoV-19/Japan/QK002/2020
Ueno22,hCoV-19/Japan/TY-WK-521/2020,hCoV-19/Japan/TY8-612-P1/2021
Ueno22,hCoV-19/Japan/TY-WK-521/2020,hCoV-19/Japan/TY7-501/2021
Ueno22,hCoV-19/Japan/TY-WK-521/2020,hCoV-19/Japan/TKYTK5356/2021
Ueno22,hCoV-19/Japan/TY-WK-521/2020,hCoV-19/Japan/TKYTK1734/2021
Ueno22,hCoV-19/Japan/TY-WK-521/2020,hCoV-19/Japan/TKYX00012/2021
Ueno22,hCoV-19/Japan/TY-WK-521/2020,hCoV-19/Japan/TKYS02037/2022
