ref_name,control_iso_name,iso_name
Entzminger23,Wuhan-Hu-1 Spike,B.1.617.2 Spike:+417N+496Y
Entzminger23,Wuhan-Hu-1 Spike,BA.1 Spike
Entzminger23,Wuhan-Hu-1 Spike,BA.2 Spike
Entzminger23,Wuhan-Hu-1 Spike,BA.2.3.20 Spike
Entzminger23,Wuhan-Hu-1 Spike,BA.2.75 Spike
Entzminger23,Wuhan-Hu-1 Spike,BA.2.75.2 Spike
Entzminger23,Wuhan-Hu-1 Spike,BN.1 Spike
Entzminger23,Wuhan-Hu-1 Spike,XBB Spike
Entzminger23,Wuhan-Hu-1 Spike,XBB.1 Spike
Entzminger23,Wuhan-Hu-1 Spike,XBB.1.5 Spike
Entzminger23,Wuhan-Hu-1 Spike,BA.4/5 Spike
Entzminger23,Wuhan-Hu-1 Spike,BF.7 Spike
Entzminger23,Wuhan-Hu-1 Spike,BA.4.6 Spike
Entzminger23,Wuhan-Hu-1 Spike,BQ.1 Spike
Entzminger23,Wuhan-Hu-1 Spike,BQ.1.1 Spike
