ref_name,control_iso_name,iso_name
Touret22b,B.1 full genome,hCoV-19/France/PAC-0610/2021
Touret22b,B.1 full genome,hCoV-19/France/PAC-1514/2021
Touret22b,B.1 full genome,hCoV-19/France/NAQ-HCL022005338701/2022
Touret22b,B.1 full genome,hCoV-19/France/ARA-HCL022074071401/2022
