ref_name,subject_name,rx_name,collection_date_cmp,collection_date,location,cumulative_group,section
Yisimayi23,BA5_spike_mRNA_1ug_2x_mouse,BA5_spike_mRNA_1ug_2x_mouse,~,2022-09-22,China,BA5_spike_mRNA_1ug_2x_mouse,NULL
Yisimayi23,BQ11_spike_mRNA_1ug_2x_mouse,BQ11_spike_mRNA_1ug_2x_mouse,~,2022-09-22,China,BQ11_spike_mRNA_1ug_2x_mouse,NULL
Yisimayi23,XBB_spike_mRNA_1ug_2x_mouse,XBB_spike_mRNA_1ug_2x_mouse,~,2022-09-22,China,XBB_spike_mRNA_1ug_2x_mouse,NULL
Yisimayi23,BA5_spike_mRNA_10ug_2x_mouse,BA5_spike_mRNA_10ug_2x_mouse,~,2022-09-22,China,BA5_spike_mRNA_10ug_2x_mouse,NULL
Yisimayi23,BQ11_spike_mRNA_10ug_2x_mouse,BQ11_spike_mRNA_10ug_2x_mouse,~,2022-09-22,China,BQ11_spike_mRNA_10ug_2x_mouse,NULL
Yisimayi23,XBB_spike_mRNA_10ug_2x_mouse,XBB_spike_mRNA_10ug_2x_mouse,~,2022-09-22,China,XBB_spike_mRNA_10ug_2x_mouse,NULL
