iso_name,var_name,site_directed,gisaid_id,genbank_accn,sra_accn,expandable
Boshier22 A0,B.1.1,FALSE,NULL,NULL,NULL,TRUE
Boshier22 A1,B.1.1,FALSE,NULL,NULL,NULL,TRUE
Boshier22 A5,B.1.1,FALSE,NULL,NULL,NULL,TRUE
Boshier22 A6,B.1.1,FALSE,NULL,NULL,NULL,TRUE
Boshier22 A7,B.1.1,FALSE,NULL,NULL,NULL,TRUE
Boshier22 A8,B.1.1,FALSE,NULL,NULL,NULL,TRUE
Boshier22 A9,B.1.1,FALSE,NULL,NULL,NULL,TRUE
Boshier22 A10,B.1.1,FALSE,NULL,NULL,NULL,TRUE
Boshier22 A11,B.1.1,FALSE,NULL,NULL,NULL,TRUE
Boshier22 B0,B.1.1.257,FALSE,NULL,NULL,NULL,TRUE
Boshier22 B5,B.1.1.257,FALSE,NULL,NULL,NULL,TRUE
Boshier22 B9,B.1.1.257,FALSE,NULL,NULL,NULL,TRUE
Boshier22 C0,B.40,FALSE,NULL,NULL,NULL,TRUE
Boshier22 C15,B.40,FALSE,NULL,NULL,NULL,TRUE
Boshier22 C22,B.40,FALSE,NULL,NULL,NULL,TRUE
Boshier22 D2,B.1.1,FALSE,NULL,NULL,NULL,TRUE
Boshier22 D5,B.1.1,FALSE,NULL,NULL,NULL,TRUE
Boshier22 D6,B.1.1,FALSE,NULL,NULL,NULL,TRUE
Boshier22 D7,B.1.1,FALSE,NULL,NULL,NULL,TRUE
Boshier22 D8,B.1.1,FALSE,NULL,NULL,NULL,TRUE
Boshier22 D15,B.1.1,FALSE,NULL,NULL,NULL,TRUE
Boshier22 E0,B.1,FALSE,NULL,NULL,NULL,TRUE
Boshier22 E6,B.1,FALSE,NULL,NULL,NULL,TRUE
Boshier22 E13,B.1,FALSE,NULL,NULL,NULL,TRUE
Boshier22 E31,B.1,FALSE,NULL,NULL,NULL,TRUE
Boshier22 E35,B.1,FALSE,NULL,NULL,NULL,TRUE
Boshier22 F0,B.40,FALSE,NULL,NULL,NULL,TRUE
Boshier22 F7,B.40,FALSE,NULL,NULL,NULL,TRUE
Boshier22 G0,B.1.1,FALSE,NULL,NULL,NULL,TRUE
Boshier22 G2,B.1.1,FALSE,NULL,NULL,NULL,TRUE
Boshier22 G3,B.1.1,FALSE,NULL,NULL,NULL,TRUE
Boshier22 G4,B.1.1,FALSE,NULL,NULL,NULL,TRUE
Boshier22 G5,B.1.1,FALSE,NULL,NULL,NULL,TRUE
Boshier22 G6,B.1.1,FALSE,NULL,NULL,NULL,TRUE
Boshier22 G8,B.1.1,FALSE,NULL,NULL,NULL,TRUE
Boshier22 G9,B.1.1,FALSE,NULL,NULL,NULL,TRUE
Boshier22 G10,B.1.1,FALSE,NULL,NULL,NULL,TRUE
Boshier22 G14,B.1.1,FALSE,NULL,NULL,NULL,TRUE
Boshier22 H0,B.1.391,FALSE,NULL,NULL,NULL,TRUE
Boshier22 H1,B.1.391,FALSE,NULL,NULL,NULL,TRUE
Boshier22 H2,B.1.391,FALSE,NULL,NULL,NULL,TRUE
Boshier22 H3,B.1.391,FALSE,NULL,NULL,NULL,TRUE
Boshier22 H4,B.1.391,FALSE,NULL,NULL,NULL,TRUE
Boshier22 H5,B.1.391,FALSE,NULL,NULL,NULL,TRUE
Boshier22 H6,B.1.391,FALSE,NULL,NULL,NULL,TRUE
Boshier22 H7,B.1.391,FALSE,NULL,NULL,NULL,TRUE
Boshier22 H8,B.1.391,FALSE,NULL,NULL,NULL,TRUE
Boshier22 H9,B.1.391,FALSE,NULL,NULL,NULL,TRUE
Boshier22 H10,B.1.391,FALSE,NULL,NULL,NULL,TRUE
Boshier22 I2,B.1,FALSE,NULL,NULL,NULL,TRUE
Boshier22 I10,B.1,FALSE,NULL,NULL,NULL,TRUE
