iso_name,var_name,site_directed,gisaid_id,genbank_accn,sra_accn,expandable
Jensen21 Pt1_d1,B.1,FALSE,NULL,NULL,NULL,TRUE
Jensen21 Pt1_d12,NULL,FALSE,NULL,NULL,NULL,TRUE
Jensen21 Pt1_d14,NULL,FALSE,NULL,NULL,NULL,TRUE
Jensen21 Pt1_d16,NULL,FALSE,NULL,NULL,NULL,TRUE
Jensen21 Pt2_d1,B.1.1,FALSE,NULL,NULL,NULL,TRUE
Jensen21 Pt2_d9,NULL,FALSE,NULL,NULL,NULL,TRUE
Jensen21 Pt3_d1,B.1.177,FALSE,NULL,NULL,NULL,TRUE
Jensen21 Pt3_d81,NULL,FALSE,NULL,NULL,NULL,TRUE
Jensen21 Pt4_d1,B.1.177,FALSE,NULL,NULL,NULL,TRUE
Jensen21 Pt4_d19,NULL,FALSE,NULL,NULL,NULL,TRUE
Jensen21 Pt5_d1,B.1.258,FALSE,NULL,NULL,NULL,TRUE
Jensen21 Pt5_d49,NULL,FALSE,NULL,NULL,NULL,TRUE
Jensen21 Pt5_d51,NULL,FALSE,NULL,NULL,NULL,TRUE
Jensen21 Pt5_d52,NULL,FALSE,NULL,NULL,NULL,TRUE
Jensen21 Pt6_d1,B.1.160,FALSE,NULL,NULL,NULL,TRUE
Jensen21 Pt6_d20,NULL,FALSE,NULL,NULL,NULL,TRUE
