iso_name,var_name,site_directed,gisaid_id,genbank_accn,sra_accn,expandable
A1,B.1,FALSE,NULL,NULL,NULL,TRUE
A2,B.1,FALSE,NULL,NULL,NULL,TRUE
A3,B.1,FALSE,NULL,NULL,NULL,TRUE
B1,B.1,FALSE,NULL,NULL,NULL,TRUE
B2,B.1,FALSE,NULL,NULL,NULL,TRUE
B3,B.1,FALSE,NULL,NULL,NULL,TRUE
