iso_name,var_name,site_directed,gisaid_id,genbank_accn,expandable
21-R008-010-MI,Delta,FALSE,NULL,SRR17088949,TRUE
21-R008-008-MI,Delta,FALSE,NULL,SRR17088951,TRUE
21-R008-007-MI,Delta,FALSE,NULL,SRR17088952,TRUE
21-R008-006-MI,Delta,FALSE,NULL,SRR17088953,TRUE
21-R008-005-MI,Delta,FALSE,NULL,SRR17088954,TRUE
21-R001-005,Delta,FALSE,NULL,SRR17088955,TRUE
21-R008-004-MI,Delta,FALSE,NULL,SRR17088956,TRUE
21-R008-003-MI,Delta,FALSE,NULL,SRR17088957,TRUE
21-R008-002-MI,Delta,FALSE,NULL,SRR17088958,TRUE
21-R008-001-MI,Delta,FALSE,NULL,SRR17088959,TRUE
21-R007-002-MI,Delta,FALSE,NULL,SRR17088960,TRUE
21-R007-001-MI,Delta,FALSE,NULL,SRR17088961,TRUE
21-R006-006-MI,Delta,FALSE,NULL,SRR17088962,TRUE
21-R006-005-MI,Delta,FALSE,NULL,SRR17088963,TRUE
21-R006-004-MI,Delta,FALSE,NULL,SRR17088964,TRUE
21-R006-001-MI,Delta,FALSE,NULL,SRR17088965,TRUE
21-R005-002-MI,Delta,FALSE,NULL,SRR17088966,TRUE
21-R004-009-MI,Delta,FALSE,NULL,SRR17088967,TRUE
21-R002-002-MI,Delta,FALSE,NULL,SRR17088968,TRUE
21-R002-001-MI,Delta,FALSE,NULL,SRR17088969,TRUE
21-R001-008,Delta,FALSE,NULL,SRR17088970,TRUE
21-R001-007,Delta,FALSE,NULL,SRR17088971,TRUE
21-R001-006,Delta,FALSE,NULL,SRR17088972,TRUE
21-R008-012-MI,Delta,FALSE,NULL,SRR17088975,TRUE
21-R004-008-MI,Delta,FALSE,NULL,SRR17088976,TRUE
21-R001-004,Delta,FALSE,NULL,SRR17088977,TRUE
21-R008-011-MI,Delta,FALSE,NULL,SRR17088978,TRUE
21-R004-007-MI,Delta,FALSE,NULL,SRR17088979,TRUE
21-R004-006-MI,Delta,FALSE,NULL,SRR17088980,TRUE
21-R004-005-MI,Delta,FALSE,NULL,SRR17088981,TRUE
21-R004-003-MI,Delta,FALSE,NULL,SRR17088982,TRUE
21-R004-001-MI,Delta,FALSE,NULL,SRR17088983,TRUE
21-R003-004-MI,Delta,FALSE,NULL,SRR17088984,TRUE
21-R001-003,Delta,FALSE,NULL,SRR17088985,TRUE
21-R004-002-MI,Delta,FALSE,NULL,SRR17088986,TRUE
21-R003-003-MI,Delta,FALSE,NULL,SRR17088987,TRUE
21-R003-002-MI,Delta,FALSE,NULL,SRR17088988,TRUE
21-R003-001-MI,Delta,FALSE,NULL,SRR17088989,TRUE
21-R002-010-MI,Delta,FALSE,NULL,SRR17088990,TRUE
21-R002-008-MI,Delta,FALSE,NULL,SRR17088991,TRUE
21-R002-007-MI,Delta,FALSE,NULL,SRR17088992,TRUE
21-R002-006-MI,Delta,FALSE,NULL,SRR17088993,TRUE
21-R002-009-MI,Delta,FALSE,NULL,SRR17088994,TRUE
21-R002-004-MI,Delta,FALSE,NULL,SRR17088995,TRUE
21-R002-003-MI,Delta,FALSE,NULL,SRR17088996,TRUE
21-R001-002,Delta,FALSE,NULL,SRR17088997,TRUE
21-R001-001,Delta,FALSE,NULL,SRR17088998,TRUE
