iso_name,var_name,site_directed,gisaid_id,genbank_accn,expandable
Vellas21 P1d0,Alpha,FALSE,NULL,NULL,TRUE
Vellas21 P1d7,Alpha/Q493R,FALSE,NULL,NULL,TRUE
Vellas21 P1d14,Alpha/Q493R,FALSE,NULL,NULL,TRUE
Vellas21 P2d0,Alpha,FALSE,NULL,NULL,TRUE
Vellas21 P2d7,Alpha/Q493R,FALSE,NULL,NULL,TRUE
Vellas21 P3d0,Alpha,FALSE,NULL,NULL,TRUE
Vellas21 P3d7,Alpha,FALSE,NULL,NULL,TRUE
Vellas21 P3d14,Alpha/Q493R,FALSE,NULL,NULL,TRUE
Vellas21 P4d0,Alpha,FALSE,NULL,NULL,TRUE
Vellas21 P4d7,Alpha/Q493K,FALSE,NULL,NULL,TRUE
Vellas21 P5d0,Alpha,FALSE,NULL,NULL,TRUE
Vellas21 P5d7,Alpha,FALSE,NULL,NULL,TRUE
Vellas21 P5d21,Alpha/A475V+E484K,FALSE,NULL,NULL,TRUE
