iso_name,var_name,site_directed,gisaid_id,genbank_accn,sra_accn,expandable
CG6227_Sample2,Omicron/BA.1,FALSE,NULL,NULL,NULL,TRUE
CG6227_Sample3,Omicron/BA.1,FALSE,NULL,NULL,NULL,TRUE
MP1795_Sample3,Omicron/BA.1.1,FALSE,NULL,NULL,NULL,TRUE
PP7372_Sample7,Omicron/BA.1.1,FALSE,NULL,NULL,NULL,TRUE
RP3071_Sample3,Omicron/BA.1.1,FALSE,NULL,NULL,NULL,TRUE
RP3071_Sample4,Omicron/BA.1.1,FALSE,NULL,NULL,NULL,TRUE
RP3071_Sample5,Omicron/BA.1.1,FALSE,NULL,NULL,NULL,TRUE
RP3017_Sample6,Omicron/BA.1.1,FALSE,NULL,NULL,NULL,TRUE
VC3851_Sample1,Delta,FALSE,NULL,NULL,NULL,TRUE
VC3851_Sample2,Delta,FALSE,NULL,NULL,NULL,TRUE
