iso_name,var_name,site_directed,gisaid_id,genbank_accn,sra_accn,expandable
Vellas22 BA.1 baseline,Omicron/BA.1,FALSE,NULL,NULL,NULL,TRUE
Vellas22 BA.1.1 baseline,Omicron/BA.1.1,FALSE,NULL,NULL,NULL,TRUE
Vellas22 BA.2 baseline,Omicron/BA.2,FALSE,NULL,NULL,NULL,TRUE
Vellas22 P1d14,Omicron/BA.1,FALSE,NULL,NULL,NULL,TRUE
Vellas22 P2d21,Omicron/BA.1.1,FALSE,NULL,NULL,NULL,TRUE
Vellas22 P3d14,Omicron/BA.1.1,FALSE,NULL,NULL,NULL,TRUE
Vellas22 P4d21,Omicron/BA.1.1,FALSE,NULL,NULL,NULL,TRUE
Vellas22 P5d7,Omicron/BA.2,FALSE,NULL,NULL,NULL,TRUE
Vellas22 P6d7,Omicron/BA.1.1,FALSE,NULL,NULL,NULL,TRUE
Vellas22 P7d14,Omicron/BA.1.1,FALSE,NULL,NULL,NULL,TRUE
Vellas22 P8d14,Omicron/BA.1,FALSE,NULL,NULL,NULL,TRUE
Vellas22 P9d14,Omicron/BA.1,FALSE,NULL,NULL,NULL,TRUE
Vellas22 P10d7,Omicron/BA.1.1,FALSE,NULL,NULL,NULL,TRUE
Vellas22 P11d7,Omicron/BA.1.1,FALSE,NULL,NULL,NULL,TRUE
Vellas22 P12d7,Omicron/BA.1.1,FALSE,NULL,NULL,NULL,TRUE
Vellas22 P13d7,Omicron/BA.1.1,FALSE,NULL,NULL,NULL,TRUE
Vellas22 P14d7,Omicron/BA.1.1,FALSE,NULL,NULL,NULL,TRUE
Vellas22 P15d7,Omicron/BA.1,FALSE,NULL,NULL,NULL,TRUE
Vellas22 P16d7,Omicron/BA.1.1,FALSE,NULL,NULL,NULL,TRUE
Vellas22 P17d7,Omicron/BA.1.1,FALSE,NULL,NULL,NULL,TRUE
Vellas22 P18d7,Omicron/BA.1,FALSE,NULL,NULL,NULL,TRUE
