ref_name,assay_name,potency_type,potency_upper_limit,potency_lower_limit,potency_unit
Wang21,HIV pseudovirus,NT50,NULL,10,NULL
Wang21,HIV pseudovirus,IC50,1000,NULL,ng/ml
