ref_name,subject_name,rx_name,collection_date_cmp,collection_date,location,cumulative_group,section
Corbett21,mRNA_macaques,mRNA_30ug_1_18,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_30ug_1_19,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_30ug_1_20,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_30ug_1_21,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_30ug_1_22,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_30ug_1_23,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_30ug_1_24,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_100ug_2_25,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_100ug_2_26,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_100ug_2_27,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_100ug_2_28,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_100ug_2_29,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_100ug_2_30,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_100ug_2_31,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_100ug_2_32,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_30ug_2_25,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_30ug_2_26,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_30ug_2_27,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_30ug_2_28,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_30ug_2_29,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_30ug_2_30,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_30ug_2_31,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_30ug_2_32,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_30ug_1_25,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_30ug_1_26,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_30ug_1_27,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_30ug_1_28,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_30ug_1_29,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_30ug_1_30,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_30ug_1_31,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_30ug_1_32,~,2021-04-30,USA,MOD,NULL
