ref_name,rx_name,vaccine_name,timing,dosage,cumulative_group
Wang21g,BBIBP-CorV,BBIBP-CorV,1,2,BBIBP-CorV
Wang21g,CoronaVac,CoronaVac,1,2,CoronaVac
