ref_name,rx_name,subject_name,collection_date,cumulative_group
Corbett21,mRNA_30ug_2_26,mRNA_macaques,2021-04-30,MOD
Corbett21,mRNA_30ug_2_27,mRNA_macaques,2021-04-30,MOD
Corbett21,mRNA_30ug_2_28,mRNA_macaques,2021-04-30,MOD
Corbett21,mRNA_30ug_2_29,mRNA_macaques,2021-04-30,MOD
Corbett21,mRNA_30ug_2_30,mRNA_macaques,2021-04-30,MOD
Corbett21,mRNA_30ug_2_31,mRNA_macaques,2021-04-30,MOD
Corbett21,mRNA_30ug_2_32,mRNA_macaques,2021-04-30,MOD
Corbett21,mRNA_30ug_1_25,mRNA_macaques,2021-04-30,MOD
Corbett21,mRNA_30ug_1_26,mRNA_macaques,2021-04-30,MOD
Corbett21,mRNA_30ug_1_27,mRNA_macaques,2021-04-30,MOD
Corbett21,mRNA_30ug_1_28,mRNA_macaques,2021-04-30,MOD
Corbett21,mRNA_30ug_1_29,mRNA_macaques,2021-04-30,MOD
Corbett21,mRNA_30ug_1_30,mRNA_macaques,2021-04-30,MOD
Corbett21,mRNA_30ug_1_31,mRNA_macaques,2021-04-30,MOD
Corbett21,mRNA_30ug_1_32,mRNA_macaques,2021-04-30,MOD
