ref_name,rx_name,control_iso_name,iso_name,ordinal_number,section,fold_cmp,fold,potency_type,resistance_level,ineffective,cumulative_count,assay_name,date_added
Ikegame21,Sputnik V,S:614G,B.1.1.7 Spike,1,Figure 2C,=,0.1,IC50,NULL,NULL,1,vsv pseudovirus,2021-04-17
Ikegame21,Sputnik V,S:614G,B.1.1.7 Spike,2,Figure 2C,=,0.2,IC50,NULL,NULL,1,vsv pseudovirus,2021-04-17
Ikegame21,Sputnik V,S:614G,B.1.1.7 Spike,3,Figure 2C,=,0.4,IC50,NULL,NULL,1,vsv pseudovirus,2021-04-17
Ikegame21,Sputnik V,S:614G,B.1.1.7 Spike,4,Figure 2C,=,0.4,IC50,NULL,NULL,1,vsv pseudovirus,2021-04-17
Ikegame21,Sputnik V,S:614G,B.1.1.7 Spike,5,Figure 2C,=,0.5,IC50,NULL,NULL,1,vsv pseudovirus,2021-04-17
Ikegame21,Sputnik V,S:614G,B.1.1.7 Spike,6,Figure 2C,=,0.6,IC50,NULL,NULL,1,vsv pseudovirus,2021-04-17
Ikegame21,Sputnik V,S:614G,B.1.1.7 Spike,7,Figure 2C,=,0.7,IC50,NULL,NULL,1,vsv pseudovirus,2021-04-17
Ikegame21,Sputnik V,S:614G,B.1.1.7 Spike,8,Figure 2C,=,0.9,IC50,NULL,NULL,1,vsv pseudovirus,2021-04-17
Ikegame21,Sputnik V,S:614G,B.1.1.7 Spike,9,Figure 2C,=,1.0,IC50,NULL,NULL,1,vsv pseudovirus,2021-04-17
Ikegame21,Sputnik V,S:614G,B.1.1.7 Spike,10,Figure 2C,=,1.0,IC50,NULL,NULL,1,vsv pseudovirus,2021-04-17
Ikegame21,Sputnik V,S:614G,B.1.1.7 Spike,11,Figure 2C,=,1.4,IC50,NULL,NULL,1,vsv pseudovirus,2021-04-17
Ikegame21,Sputnik V,S:614G,B.1.1.7 Spike,12,Figure 2C,=,2.2,IC50,NULL,NULL,1,vsv pseudovirus,2021-04-17
Ikegame21,Sputnik V,S:614G,B.1.351 Spike,1,Figure 2C,=,0.5,IC50,NULL,NULL,1,vsv pseudovirus,2021-04-17
Ikegame21,Sputnik V,S:614G,B.1.351 Spike,2,Figure 2C,=,1.7,IC50,NULL,NULL,1,vsv pseudovirus,2021-04-17
Ikegame21,Sputnik V,S:614G,B.1.351 Spike,3,Figure 2C,=,2.4,IC50,NULL,NULL,1,vsv pseudovirus,2021-04-17
Ikegame21,Sputnik V,S:614G,B.1.351 Spike,4,Figure 2C,=,4.9,IC50,NULL,NULL,1,vsv pseudovirus,2021-04-17
Ikegame21,Sputnik V,S:614G,B.1.351 Spike,5,Figure 2C,=,5.9,IC50,NULL,NULL,1,vsv pseudovirus,2021-04-17
Ikegame21,Sputnik V,S:614G,B.1.351 Spike,6,Figure 2C,=,5.9,IC50,NULL,NULL,1,vsv pseudovirus,2021-04-17
Ikegame21,Sputnik V,S:614G,B.1.351 Spike,7,Figure 2C,=,6.5,IC50,NULL,NULL,1,vsv pseudovirus,2021-04-17
Ikegame21,Sputnik V,S:614G,B.1.351 Spike,8,Figure 2C,=,7.8,IC50,NULL,NULL,1,vsv pseudovirus,2021-04-17
Ikegame21,Sputnik V,S:614G,B.1.351 Spike,9,Figure 2C,=,9.3,IC50,NULL,NULL,1,vsv pseudovirus,2021-04-17
Ikegame21,Sputnik V,S:614G,B.1.351 Spike,10,Figure 2C,=,10.2,IC50,NULL,NULL,1,vsv pseudovirus,2021-04-17
Ikegame21,Sputnik V,S:614G,B.1.351 Spike,11,Figure 2C,=,33.5,IC50,NULL,NULL,1,vsv pseudovirus,2021-04-17
Ikegame21,Sputnik V,S:614G,B.1.351 Spike,12,Figure 2C,=,100.0,IC50,NULL,NULL,1,vsv pseudovirus,2021-04-17
Ikegame21,Sputnik V,S:614G,S:484K,1,Figure 2C,=,1.3,IC50,NULL,NULL,1,vsv pseudovirus,2021-04-17
Ikegame21,Sputnik V,S:614G,S:484K,2,Figure 2C,=,1.4,IC50,NULL,NULL,1,vsv pseudovirus,2021-04-17
Ikegame21,Sputnik V,S:614G,S:484K,3,Figure 2C,=,1.8,IC50,NULL,NULL,1,vsv pseudovirus,2021-04-17
Ikegame21,Sputnik V,S:614G,S:484K,4,Figure 2C,=,2.0,IC50,NULL,NULL,1,vsv pseudovirus,2021-04-17
Ikegame21,Sputnik V,S:614G,S:484K,5,Figure 2C,=,2.4,IC50,NULL,NULL,1,vsv pseudovirus,2021-04-17
Ikegame21,Sputnik V,S:614G,S:484K,6,Figure 2C,=,2.9,IC50,NULL,NULL,1,vsv pseudovirus,2021-04-17
Ikegame21,Sputnik V,S:614G,S:484K,7,Figure 2C,=,2.9,IC50,NULL,NULL,1,vsv pseudovirus,2021-04-17
Ikegame21,Sputnik V,S:614G,S:484K,8,Figure 2C,=,3.4,IC50,NULL,NULL,1,vsv pseudovirus,2021-04-17
Ikegame21,Sputnik V,S:614G,S:484K,9,Figure 2C,=,3.4,IC50,NULL,NULL,1,vsv pseudovirus,2021-04-17
Ikegame21,Sputnik V,S:614G,S:484K,10,Figure 2C,=,3.1,IC50,NULL,NULL,1,vsv pseudovirus,2021-04-17
Ikegame21,Sputnik V,S:614G,S:484K,11,Figure 2C,=,9.3,IC50,NULL,NULL,1,vsv pseudovirus,2021-04-17
Ikegame21,Sputnik V,S:614G,S:484K,12,Figure 2C,=,11.2,IC50,NULL,NULL,1,vsv pseudovirus,2021-04-17
