ref_name,rx_name,control_iso_name,iso_name,ordinal_number,section,fold_cmp,fold,potency_type,resistance_level,ineffective,cumulative_count,assay_name,date_added
Xie21b,BNT162b2_1,Wuhan-Hu-1,S:501Y,1,"Figure 1, Table S1",=,0.25,IC50,NULL,NULL,1,chimeric virus,2021-01-27
Xie21b,BNT162b2_2,Wuhan-Hu-1,S:501Y,2,"Figure 1, Table S1",=,0.50,IC50,NULL,NULL,1,chimeric virus,2021-01-27
Xie21b,BNT162b2_3,Wuhan-Hu-1,S:501Y,3,"Figure 1, Table S1",=,0.50,IC50,NULL,NULL,1,chimeric virus,2021-01-27
Xie21b,BNT162b2_4,Wuhan-Hu-1,S:501Y,4,"Figure 1, Table S1",=,0.50,IC50,NULL,NULL,1,chimeric virus,2021-01-27
Xie21b,BNT162b2_5,Wuhan-Hu-1,S:501Y,5,"Figure 1, Table S1",=,1.00,IC50,NULL,NULL,1,chimeric virus,2021-01-27
Xie21b,BNT162b2_6,Wuhan-Hu-1,S:501Y,6,"Figure 1, Table S1",=,1.00,IC50,NULL,NULL,1,chimeric virus,2021-01-27
Xie21b,BNT162b2_7,Wuhan-Hu-1,S:501Y,7,"Figure 1, Table S1",=,1.00,IC50,NULL,NULL,1,chimeric virus,2021-01-27
Xie21b,BNT162b2_8,Wuhan-Hu-1,S:501Y,8,"Figure 1, Table S1",=,1.00,IC50,NULL,NULL,1,chimeric virus,2021-01-27
Xie21b,BNT162b2_9,Wuhan-Hu-1,S:501Y,9,"Figure 1, Table S1",=,1.00,IC50,NULL,NULL,1,chimeric virus,2021-01-27
Xie21b,BNT162b2_10,Wuhan-Hu-1,S:501Y,10,"Figure 1, Table S1",=,0.50,IC50,NULL,NULL,1,chimeric virus,2021-01-27
Xie21b,BNT162b2_11,Wuhan-Hu-1,S:501Y,11,"Figure 1, Table S1",=,0.25,IC50,NULL,NULL,1,chimeric virus,2021-01-27
Xie21b,BNT162b2_12,Wuhan-Hu-1,S:501Y,12,"Figure 1, Table S1",=,1.00,IC50,NULL,NULL,1,chimeric virus,2021-01-27
Xie21b,BNT162b2_13,Wuhan-Hu-1,S:501Y,13,"Figure 1, Table S1",=,0.50,IC50,NULL,NULL,1,chimeric virus,2021-01-27
Xie21b,BNT162b2_14,Wuhan-Hu-1,S:501Y,14,"Figure 1, Table S1",=,2.00,IC50,NULL,NULL,1,chimeric virus,2021-01-27
Xie21b,BNT162b2_15,Wuhan-Hu-1,S:501Y,15,"Figure 1, Table S1",=,0.50,IC50,NULL,NULL,1,chimeric virus,2021-01-27
Xie21b,BNT162b2_16,Wuhan-Hu-1,S:501Y,16,"Figure 1, Table S1",=,0.50,IC50,NULL,NULL,1,chimeric virus,2021-01-27
Xie21b,BNT162b2_17,Wuhan-Hu-1,S:501Y,17,"Figure 1, Table S1",=,1.00,IC50,NULL,NULL,1,chimeric virus,2021-01-27
