ref_name,rx_name,strain_name,section,ordinal_number,fold_cmp,fold
Wibmer21,CP_Titer_LT400,B.1.351 Spike,Figure 2,2,,1.05
Wibmer21,CP_Titer_LT400,B.1.351 Spike,Figure 2,3,,1.19
Wibmer21,CP_Titer_LT400,B.1.351 Spike,Figure 2,4,,0.94
Wibmer21,CP_Titer_LT400,B.1.351 Spike,Figure 2,5,>,2.45
Wibmer21,CP_Titer_LT400,B.1.351 Spike,Figure 2,6,>,2.55
Wibmer21,CP_Titer_LT400,B.1.351 Spike,Figure 2,7,>,6.6
Wibmer21,CP_Titer_LT400,B.1.351 Spike,Figure 2,8,>,7
Wibmer21,CP_Titer_LT400,B.1.351 Spike,Figure 2,9,>,7.7
Wibmer21,CP_Titer_LT400,B.1.351 Spike,Figure 2,10,>,8.2
Wibmer21,CP_Titer_LT400,B.1.351 Spike,Figure 2,11,>,8.7
Wibmer21,CP_Titer_LT400,B.1.351 Spike,Figure 2,12,>,8.7
Wibmer21,CP_Titer_LT400,B.1.351 Spike,Figure 2,13,>,8.85
Wibmer21,CP_Titer_LT400,B.1.351 Spike,Figure 2,14,>,10.8
Wibmer21,CP_Titer_LT400,B.1.351 Spike,Figure 2,15,>,10.8
Wibmer21,CP_Titer_LT400,B.1.351 Spike,Figure 2,16,,3.14
Wibmer21,CP_Titer_LT400,B.1.351 Spike,Figure 2,17,>,11.85
Wibmer21,CP_Titer_LT400,B.1.351 Spike,Figure 2,18,>,11.7
Wibmer21,CP_Titer_LT400,B.1.351 Spike,Figure 2,19,>,12.55
Wibmer21,CP_Titer_LT400,B.1.351 Spike,Figure 2,20,>,12.75
Wibmer21,CP_Titer_LT400,B.1.351 Spike,Figure 2,21,,7
Wibmer21,CP_Titer_LT400,B.1.351 Spike,Figure 2,22,>,16.3
Wibmer21,CP_Titer_GT400,B.1.351 Spike,Figure 2,1,>,20.05
Wibmer21,CP_Titer_GT400,B.1.351 Spike,Figure 2,2,,2.11
Wibmer21,CP_Titer_GT400,B.1.351 Spike,Figure 2,3,>,34.75
Wibmer21,CP_Titer_GT400,B.1.351 Spike,Figure 2,4,>,36.4
Wibmer21,CP_Titer_GT400,B.1.351 Spike,Figure 2,5,,3.99
Wibmer21,CP_Titer_GT400,B.1.351 Spike,Figure 2,6,,12.46
Wibmer21,CP_Titer_GT400,B.1.351 Spike,Figure 2,7,,32.15
Wibmer21,CP_Titer_GT400,B.1.351 Spike,Figure 2,8,>,72.4
Wibmer21,CP_Titer_GT400,B.1.351 Spike,Figure 2,9,,15.11
Wibmer21,CP_Titer_GT400,B.1.351 Spike,Figure 2,10,,8.65
Wibmer21,CP_Titer_GT400,B.1.351 Spike,Figure 2,11,>,88.35
Wibmer21,CP_Titer_GT400,B.1.351 Spike,Figure 2,12,,8.31
Wibmer21,CP_Titer_GT400,B.1.351 Spike,Figure 2,13,,7.4
Wibmer21,CP_Titer_GT400,B.1.351 Spike,Figure 2,14,,7.53
Wibmer21,CP_Titer_GT400,B.1.351 Spike,Figure 2,15,,75.52
Wibmer21,CP_Titer_GT400,B.1.351 Spike,Figure 2,16,,4.26
Wibmer21,CP_Titer_GT400,B.1.351 Spike,Figure 2,17,,7.99
Wibmer21,CP_Titer_GT400,B.1.351 Spike,Figure 2,18,,67.55
Wibmer21,CP_Titer_GT400,B.1.351 Spike,Figure 2,19,,77.29
Wibmer21,CP_Titer_GT400,B.1.351 Spike,Figure 2,20,,86.51
Wibmer21,CP_Titer_GT400,B.1.351 Spike,Figure 2,21,>,10
Wibmer21,CP_Titer_GT400,B.1.351 Spike,Figure 2,22,>,10
