ref_name,rx_name,control_strain_name,strain_name,ordinal_number,section,fold_cmp,fold,resistance_level,ineffective,cumulative_count,assay,date_added
Muik21,BNT162b2_1M,Control,B.1.1.7 Spike,1,Table S1,=,1,NULL,NULL,1,NULL,2021-02-09
Muik21,BNT162b2_1M,Control,B.1.1.7 Spike,2,Table S1,=,1.3,NULL,NULL,1,NULL,2021-02-09
Muik21,BNT162b2_1M,Control,B.1.1.7 Spike,3,Table S1,=,1.7,NULL,NULL,1,NULL,2021-02-09
Muik21,BNT162b2_1M,Control,B.1.1.7 Spike,4,Table S1,=,0.7,NULL,NULL,1,NULL,2021-02-09
Muik21,BNT162b2_1M,Control,B.1.1.7 Spike,5,Table S1,=,1.7,NULL,NULL,1,NULL,2021-02-09
Muik21,BNT162b2_1M,Control,B.1.1.7 Spike,6,Table S1,=,1.3,NULL,NULL,1,NULL,2021-02-09
Muik21,BNT162b2_1M,Control,B.1.1.7 Spike,7,Table S1,=,1.2,NULL,NULL,1,NULL,2021-02-09
Muik21,BNT162b2_1M,Control,B.1.1.7 Spike,8,Table S1,=,1.1,NULL,NULL,1,NULL,2021-02-09
Muik21,BNT162b2_1M,Control,B.1.1.7 Spike,9,Table S1,=,1.6,NULL,NULL,1,NULL,2021-02-09
Muik21,BNT162b2_1M,Control,B.1.1.7 Spike,10,Table S1,=,1.7,NULL,NULL,1,NULL,2021-02-09
Muik21,BNT162b2_1M,Control,B.1.1.7 Spike,11,Table S1,=,1.2,NULL,NULL,1,NULL,2021-02-09
Muik21,BNT162b2_1M,Control,B.1.1.7 Spike,12,Table S1,=,0.5,NULL,NULL,1,NULL,2021-02-09
Muik21,BNT162b2_1M,Control,B.1.1.7 Spike,13,Table S1,=,2.1,NULL,NULL,1,NULL,2021-02-09
Muik21,BNT162b2_1M,Control,B.1.1.7 Spike,14,Table S1,=,2.1,NULL,NULL,1,NULL,2021-02-09
Muik21,BNT162b2_1M,Control,B.1.1.7 Spike,15,Table S1,=,1.5,NULL,NULL,1,NULL,2021-02-09
Muik21,BNT162b2_1M,Control,B.1.1.7 Spike,16,Table S1,=,0.7,NULL,NULL,1,NULL,2021-02-09
Muik21,BNT162b2_1M,Control,B.1.1.7 Spike,17,Table S1,=,1,NULL,NULL,1,NULL,2021-02-09
Muik21,BNT162b2_1M,Control,B.1.1.7 Spike,18,Table S1,=,0.8,NULL,NULL,1,NULL,2021-02-09
Muik21,BNT162b2_1M,Control,B.1.1.7 Spike,19,Table S1,=,1.6,NULL,NULL,1,NULL,2021-02-09
Muik21,BNT162b2_1M,Control,B.1.1.7 Spike,20,Table S1,=,0.9,NULL,NULL,1,NULL,2021-02-09
Muik21,BNT162b2_1M,Control,B.1.1.7 Spike,21,Table S1,=,1.9,NULL,NULL,1,NULL,2021-02-09
Muik21,BNT162b2_1M,Control,B.1.1.7 Spike,22,Table S1,=,1.4,NULL,NULL,1,NULL,2021-02-09
Muik21,BNT162b2_1M,Control,B.1.1.7 Spike,23,Table S1,=,0.9,NULL,NULL,1,NULL,2021-02-09
Muik21,BNT162b2_1M,Control,B.1.1.7 Spike,24,Table S1,=,1.8,NULL,NULL,1,NULL,2021-02-09
Muik21,BNT162b2_1M,Control,B.1.1.7 Spike,25,Table S1,=,1.9,NULL,NULL,1,NULL,2021-02-09
Muik21,BNT162b2_1M,Control,B.1.1.7 Spike,26,Table S1,=,0.8,NULL,NULL,1,NULL,2021-02-09
Muik21,BNT162b2_1M,Control,B.1.1.7 Spike,27,Table S1,=,1.1,NULL,NULL,1,NULL,2021-02-09
Muik21,BNT162b2_1M,Control,B.1.1.7 Spike,28,Table S1,=,1.8,NULL,NULL,1,NULL,2021-02-09
Muik21,BNT162b2_1M,Control,B.1.1.7 Spike,29,Table S1,=,0.7,NULL,NULL,1,NULL,2021-02-09
Muik21,BNT162b2_1M,Control,B.1.1.7 Spike,30,Table S1,=,1.7,NULL,NULL,1,NULL,2021-02-09
Muik21,BNT162b2_1M,Control,B.1.1.7 Spike,31,Table S1,=,2,NULL,NULL,1,NULL,2021-02-09
Muik21,BNT162b2_1M,Control,B.1.1.7 Spike,32,Table S1,=,1.3,NULL,NULL,1,NULL,2021-02-09
Muik21,BNT162b2_1M,Control,B.1.1.7 Spike,33,Table S1,=,1.3,NULL,NULL,1,NULL,2021-02-09
Muik21,BNT162b2_1M,Control,B.1.1.7 Spike,34,Table S1,=,1.3,NULL,NULL,1,NULL,2021-02-09
Muik21,BNT162b2_1M,Control,B.1.1.7 Spike,35,Table S1,=,1.6,NULL,NULL,1,NULL,2021-02-09
Muik21,BNT162b2_1M,Control,B.1.1.7 Spike,36,Table S1,=,1.3,NULL,NULL,1,NULL,2021-02-09
Muik21,BNT162b2_1M,Control,B.1.1.7 Spike,37,Table S1,=,1.1,NULL,NULL,1,NULL,2021-02-09
Muik21,BNT162b2_1M,Control,B.1.1.7 Spike,38,Table S1,=,0.6,NULL,NULL,1,NULL,2021-02-09
Muik21,BNT162b2_1M,Control,B.1.1.7 Spike,39,Table S1,=,1.3,NULL,NULL,1,NULL,2021-02-09
Muik21,BNT162b2_1M,Control,B.1.1.7 Spike,40,Table S1,=,1.2,NULL,NULL,1,NULL,2021-02-09
