ref_name,rx_name,control_iso_name,iso_name,ordinal_number,section,fold_cmp,fold,potency_type,resistance_level,ineffective,cumulative_count,assay,date_added
Wu21b,mRNA-1273_mice,S:614G,B.1.351 Spike,1,Figure 3b,=,1.9,IC50,NULL,NULL,1,vsv pseudovirus,2021-05-01
Wu21b,mRNA-1273_mice,S:614G,B.1.351 Spike,2,Figure 3b,=,0.9,IC50,NULL,NULL,1,vsv pseudovirus,2021-05-01
Wu21b,mRNA-1273_mice,S:614G,B.1.351 Spike,3,Figure 3b,=,1.4,IC50,NULL,NULL,1,vsv pseudovirus,2021-05-01
Wu21b,mRNA-1273_mice,S:614G,B.1.351 Spike,4,Figure 3b,=,1.4,IC50,NULL,NULL,1,vsv pseudovirus,2021-05-01
Wu21b,mRNA-1273_mice,S:614G,B.1.351 Spike,5,Figure 3b,=,4.9,IC50,NULL,NULL,1,vsv pseudovirus,2021-05-01
Wu21b,mRNA-1273_mice,S:614G,B.1.351 Spike,6,Figure 3b,=,2.9,IC50,NULL,NULL,1,vsv pseudovirus,2021-05-01
Wu21b,mRNA-1273_mice,S:614G,B.1.351 Spike,7,Figure 3b,=,2.3,IC50,NULL,NULL,1,vsv pseudovirus,2021-05-01
Wu21b,mRNA-1273_mice,S:614G,B.1.351 Spike,8,Figure 3b,=,2.3,IC50,NULL,NULL,1,vsv pseudovirus,2021-05-01
Wu21b,mRNA-1273.351_mice,S:614G,B.1.351 Spike,1,Figure 3c,=,0.4,IC50,NULL,NULL,1,vsv pseudovirus,2021-05-01
Wu21b,mRNA-1273.351_mice,S:614G,B.1.351 Spike,2,Figure 3c,=,0.3,IC50,NULL,NULL,1,vsv pseudovirus,2021-05-01
Wu21b,mRNA-1273.351_mice,S:614G,B.1.351 Spike,3,Figure 3c,=,0.7,IC50,NULL,NULL,1,vsv pseudovirus,2021-05-01
Wu21b,mRNA-1273.351_mice,S:614G,B.1.351 Spike,4,Figure 3c,=,0.7,IC50,NULL,NULL,1,vsv pseudovirus,2021-05-01
Wu21b,mRNA-1273.351_mice,S:614G,B.1.351 Spike,5,Figure 3c,=,0.2,IC50,NULL,NULL,1,vsv pseudovirus,2021-05-01
Wu21b,mRNA-1273.351_mice,S:614G,B.1.351 Spike,6,Figure 3c,=,0.2,IC50,NULL,NULL,1,vsv pseudovirus,2021-05-01
