ref_name,rx_name,control_iso_name,iso_name,ordinal_number,section,fold_cmp,fold,potency_type,resistance_level,ineffective,cumulative_count,assay_name,date_added
Xie21,BNT162b2_1,Wuhan-Hu-1,S:501Y,1,"Figure 1, Table S1",=,0.25,IC50,NULL,NULL,1,chimeric virus,2021-01-27
Xie21,BNT162b2_2,Wuhan-Hu-1,S:501Y,1,"Figure 1, Table S1",=,0.5,IC50,NULL,NULL,1,chimeric virus,2021-01-27
Xie21,BNT162b2_3,Wuhan-Hu-1,S:501Y,1,"Figure 1, Table S1",=,0.5,IC50,NULL,NULL,1,chimeric virus,2021-01-27
Xie21,BNT162b2_4,Wuhan-Hu-1,S:501Y,1,"Figure 1, Table S1",=,0.5,IC50,NULL,NULL,1,chimeric virus,2021-01-27
Xie21,BNT162b2_5,Wuhan-Hu-1,S:501Y,1,"Figure 1, Table S1",=,1,IC50,NULL,NULL,1,chimeric virus,2021-01-27
Xie21,BNT162b2_6,Wuhan-Hu-1,S:501Y,1,"Figure 1, Table S1",=,1,IC50,NULL,NULL,1,chimeric virus,2021-01-27
Xie21,BNT162b2_7,Wuhan-Hu-1,S:501Y,1,"Figure 1, Table S1",=,1,IC50,NULL,NULL,1,chimeric virus,2021-01-27
Xie21,BNT162b2_8,Wuhan-Hu-1,S:501Y,1,"Figure 1, Table S1",=,1,IC50,NULL,NULL,1,chimeric virus,2021-01-27
Xie21,BNT162b2_9,Wuhan-Hu-1,S:501Y,1,"Figure 1, Table S1",=,1,IC50,NULL,NULL,1,chimeric virus,2021-01-27
Xie21,BNT162b2_10,Wuhan-Hu-1,S:501Y,1,"Figure 1, Table S1",=,0.5,IC50,NULL,NULL,1,chimeric virus,2021-01-27
Xie21,BNT162b2_11,Wuhan-Hu-1,S:501Y,1,"Figure 1, Table S1",=,0.25,IC50,NULL,NULL,1,chimeric virus,2021-01-27
Xie21,BNT162b2_12,Wuhan-Hu-1,S:501Y,1,"Figure 1, Table S1",=,1,IC50,NULL,NULL,1,chimeric virus,2021-01-27
Xie21,BNT162b2_13,Wuhan-Hu-1,S:501Y,1,"Figure 1, Table S1",=,0.5,IC50,NULL,NULL,1,chimeric virus,2021-01-27
Xie21,BNT162b2_14,Wuhan-Hu-1,S:501Y,1,"Figure 1, Table S1",=,2,IC50,NULL,NULL,1,chimeric virus,2021-01-27
Xie21,BNT162b2_15,Wuhan-Hu-1,S:501Y,1,"Figure 1, Table S1",=,0.5,IC50,NULL,NULL,1,chimeric virus,2021-01-27
Xie21,BNT162b2_16,Wuhan-Hu-1,S:501Y,1,"Figure 1, Table S1",=,0.5,IC50,NULL,NULL,1,chimeric virus,2021-01-27
Xie21,BNT162b2_17,Wuhan-Hu-1,S:501Y,1,"Figure 1, Table S1",=,1,IC50,NULL,NULL,1,chimeric virus,2021-01-27
Xie21,BNT162b2_18,Wuhan-Hu-1,S:501Y,1,"Figure 1, Table S1",=,0.5,IC50,NULL,NULL,1,chimeric virus,2021-01-27
Xie21,BNT162b2_19,Wuhan-Hu-1,S:501Y,1,"Figure 1, Table S1",=,1,IC50,NULL,NULL,1,chimeric virus,2021-01-27
Xie21,BNT162b2_20,Wuhan-Hu-1,S:501Y,1,"Figure 1, Table S1",=,1,IC50,NULL,NULL,1,chimeric virus,2021-01-27
