ref_name,rx_name,strain_name,ordinal_number,section,fold_cmp,fold,resistance_level,cumulative_count,assay,date_added
Edara21,CP,S:501Y,1,Figure 1C,<,3,NULL,19,authentic virus,2021-02-05
Edara21,CP,S:501Y,2,Figure 1C,=,4,NULL,1,authentic virus,2021-02-05
Edara21,mRNA-1273,S:501Y,1,Figure 1D,<,2,NULL,14,authentic virus,2021-02-05
Edara21,CP,B.1.1.7 authentic,1,Figure 1C,<,3,NULL,16,authentic virus,2021-02-05
Edara21,CP,B.1.1.7 authentic,2,Figure 1C,=,4,NULL,4,authentic virus,2021-02-05
Edara21,mRNA-1273,B.1.1.7 authentic,1,Figure 1D,<,2,NULL,14,authentic virus,2021-02-05
