ref_name,rx_name,variant,cumulative_group
Greaney21,Subject_A_d120,Unknown,CP
Greaney21,Subject_A_d21,Unknown,CP
Greaney21,Subject_J_d121,Unknown,CP
Greaney21,Subject_J_d15,Unknown,CP
Greaney21,Subject_G_d94,Unknown,CP
Greaney21,Subject_G_d18,Unknown,CP
Greaney21,Subject_I_d102,Unknown,CP
Greaney21,Subject_I_d26,Unknown,CP
Greaney21,Subject_C_d32,Unknown,CP
Greaney21,Subject_K_d103,Unknown,CP
Greaney21,Subject_B_d26,Unknown,CP
Greaney21,Subject_C_d104,Unknown,CP
Greaney21,Subject_K_d29,Unknown,CP
Greaney21,Subject_B_d113,Unknown,CP
Greaney21,Subject_E_d28,Unknown,CP
Greaney21,Subject_E_d104,Unknown,CP
