ref_name,rx_name,iso_name,section,inhibition_pcnt,cumulative_count,assay_name,titer,date_added
Wall21,RLSA188158,Wuhan-Hu-1,github:davidlvb/Crick-UCLH-Legacy-VOCs-2021-05,50,1,authentic virus,310.4683575,2021-06-22
Wall21,RLS288158,Wuhan-Hu-1,github:davidlvb/Crick-UCLH-Legacy-VOCs-2021-05,50,1,authentic virus,142.1846758,2021-06-22
Wall21,RLSA188121,Wuhan-Hu-1,github:davidlvb/Crick-UCLH-Legacy-VOCs-2021-05,50,1,authentic virus,92.8654025,2021-06-22
Wall21,RLS288121,Wuhan-Hu-1,github:davidlvb/Crick-UCLH-Legacy-VOCs-2021-05,50,1,authentic virus,78.68826135,2021-06-22
Wall21,RLSA18839,Wuhan-Hu-1,github:davidlvb/Crick-UCLH-Legacy-VOCs-2021-05,50,1,authentic virus,1318.559852,2021-06-22
Wall21,RLS28839,Wuhan-Hu-1,github:davidlvb/Crick-UCLH-Legacy-VOCs-2021-05,50,1,authentic virus,980.478554,2021-06-22
Wall21,RLSA38839,Wuhan-Hu-1,github:davidlvb/Crick-UCLH-Legacy-VOCs-2021-05,50,1,authentic virus,375.1794598,2021-06-22
Wall21,RLSA188206,Wuhan-Hu-1,github:davidlvb/Crick-UCLH-Legacy-VOCs-2021-05,50,1,authentic virus,1353.690964,2021-06-22
Wall21,RLSA188246,Wuhan-Hu-1,github:davidlvb/Crick-UCLH-Legacy-VOCs-2021-05,50,1,authentic virus,148.5544258,2021-06-22
Wall21,RLS288246,Wuhan-Hu-1,github:davidlvb/Crick-UCLH-Legacy-VOCs-2021-05,50,1,authentic virus,75.18233922,2021-06-22
Wall21,RLSA188165,Wuhan-Hu-1,github:davidlvb/Crick-UCLH-Legacy-VOCs-2021-05,50,1,authentic virus,44.16290203,2021-06-22
Wall21,RLS288165,Wuhan-Hu-1,github:davidlvb/Crick-UCLH-Legacy-VOCs-2021-05,50,1,authentic virus,10,2021-06-22
Wall21,RLSA188235,Wuhan-Hu-1,github:davidlvb/Crick-UCLH-Legacy-VOCs-2021-05,50,1,authentic virus,242.4779962,2021-06-22
Wall21,RLS288235,Wuhan-Hu-1,github:davidlvb/Crick-UCLH-Legacy-VOCs-2021-05,50,1,authentic virus,60.17681448,2021-06-22
Wall21,RLSA188221,Wuhan-Hu-1,github:davidlvb/Crick-UCLH-Legacy-VOCs-2021-05,50,1,authentic virus,1059.09723,2021-06-22
Wall21,RLS288221,Wuhan-Hu-1,github:davidlvb/Crick-UCLH-Legacy-VOCs-2021-05,50,1,authentic virus,351.0016782,2021-06-22
Wall21,RLS388221,Wuhan-Hu-1,github:davidlvb/Crick-UCLH-Legacy-VOCs-2021-05,50,1,authentic virus,186.0862154,2021-06-22
Wall21,RLSA188129,Wuhan-Hu-1,github:davidlvb/Crick-UCLH-Legacy-VOCs-2021-05,50,1,authentic virus,98.48223625,2021-06-22
Wall21,RLSA18863,Wuhan-Hu-1,github:davidlvb/Crick-UCLH-Legacy-VOCs-2021-05,50,1,authentic virus,44.94389686,2021-06-22
Wall21,RLS28863,Wuhan-Hu-1,github:davidlvb/Crick-UCLH-Legacy-VOCs-2021-05,50,1,authentic virus,40.4213991,2021-06-22
Wall21,RLSA188113,Wuhan-Hu-1,github:davidlvb/Crick-UCLH-Legacy-VOCs-2021-05,50,1,authentic virus,418.621049,2021-06-22
Wall21,RLS288113,Wuhan-Hu-1,github:davidlvb/Crick-UCLH-Legacy-VOCs-2021-05,50,1,authentic virus,231.6744918,2021-06-22
Wall21,RLSA188112,Wuhan-Hu-1,github:davidlvb/Crick-UCLH-Legacy-VOCs-2021-05,50,1,authentic virus,161.7369441,2021-06-22
Wall21,RLSA288112,Wuhan-Hu-1,github:davidlvb/Crick-UCLH-Legacy-VOCs-2021-05,50,1,authentic virus,86.72868718,2021-06-22
Wall21,RLSA188208,Wuhan-Hu-1,github:davidlvb/Crick-UCLH-Legacy-VOCs-2021-05,50,1,authentic virus,2152.219626,2021-06-22
Wall21,RLS288208,Wuhan-Hu-1,github:davidlvb/Crick-UCLH-Legacy-VOCs-2021-05,50,1,authentic virus,2207.626574,2021-06-22
Wall21,RLSA188297,Wuhan-Hu-1,github:davidlvb/Crick-UCLH-Legacy-VOCs-2021-05,50,1,authentic virus,86.80473759,2021-06-22
Wall21,RLS288297,Wuhan-Hu-1,github:davidlvb/Crick-UCLH-Legacy-VOCs-2021-05,50,1,authentic virus,65.40207392,2021-06-22
Wall21,RLSA188142,Wuhan-Hu-1,github:davidlvb/Crick-UCLH-Legacy-VOCs-2021-05,50,1,authentic virus,5120,2021-06-22
Wall21,RLS288142,Wuhan-Hu-1,github:davidlvb/Crick-UCLH-Legacy-VOCs-2021-05,50,1,authentic virus,2017.056385,2021-06-22
Wall21,RLSA188167,Wuhan-Hu-1,github:davidlvb/Crick-UCLH-Legacy-VOCs-2021-05,50,1,authentic virus,5120,2021-06-22
Wall21,RLS288167,Wuhan-Hu-1,github:davidlvb/Crick-UCLH-Legacy-VOCs-2021-05,50,1,authentic virus,5120,2021-06-22
Wall21,RLSA188168,Wuhan-Hu-1,github:davidlvb/Crick-UCLH-Legacy-VOCs-2021-05,50,1,authentic virus,5120,2021-06-22
Wall21,RLSA388168,Wuhan-Hu-1,github:davidlvb/Crick-UCLH-Legacy-VOCs-2021-05,50,1,authentic virus,5120,2021-06-22
Wall21,RLSA188157,Wuhan-Hu-1,github:davidlvb/Crick-UCLH-Legacy-VOCs-2021-05,50,1,authentic virus,533.1901712,2021-06-22
Wall21,RLS288157,Wuhan-Hu-1,github:davidlvb/Crick-UCLH-Legacy-VOCs-2021-05,50,1,authentic virus,1187.959888,2021-06-22
Wall21,RLSA388157,Wuhan-Hu-1,github:davidlvb/Crick-UCLH-Legacy-VOCs-2021-05,50,1,authentic virus,296.3756864,2021-06-22
Wall21,RLSA18873,Wuhan-Hu-1,github:davidlvb/Crick-UCLH-Legacy-VOCs-2021-05,50,1,authentic virus,80.29066204,2021-06-22
Wall21,RLSA188284,Wuhan-Hu-1,github:davidlvb/Crick-UCLH-Legacy-VOCs-2021-05,50,1,authentic virus,5120,2021-06-22
Wall21,RLS288284,Wuhan-Hu-1,github:davidlvb/Crick-UCLH-Legacy-VOCs-2021-05,50,1,authentic virus,1834.877959,2021-06-22
