ref_name,chiro_rx_name,ab_name
Huo20b,CR3022,CR3022
Huo20b,H11-D4-Fc,H11-D4-Fc
Huo20b,H11-H4-Fc,H11-H4-Fc
Hurlburt20,CV30,CV30
Jiang14,MERS-27,MERS-27
Jiang14,MERS-4,MERS-4
Jones20,LY-CoV555,Bamlanivimab
Ju20,P2B-2F6,P2B-2F6
Ju20,P2C-1A13,P2C-1A13
Ju20,P2C-1F11,Amubarvimab
Kim21,CT-P59,Regdanvimab
Koenig21,VHH E,VHH E
Koenig21,VHH U,VHH U
Koenig21,VHH V,VHH V
Koenig21,VHH W,VHH W
Koenig21,VHH EV,VHH EV
Koenig21,VHH VE,VHH VE
Kreer20,FnC1t2p1_D4,FnC1t2p1_D4
Kreer20,HbnC3t1p1_C6,HbnC3t1p1_C6
Kreer20,MnC2t1p1_A3,MnC2t1p1_A3
Kreer20,MnC2t2p1_C11,MnC2t2p1_C11
Kreer20,MnC4t2p1_B3,MnC4t2p1_B3
Kreye20,CB38-183,CB38-183
Kreye20,CV-X1-126,CV-X1-126
Kreye20,CV-X2-106,CV-X2-106
Kreye20,CV05-163,CV05-163
Kreye20,CV07-200,CV07-200
Kreye20,CV07-209,CV07-209
Kreye20,CV07-222,CV07-222
Kreye20,CV07-250,CV07-250
Kreye20,CV07-255,CV07-255
Kreye20,CV07-262,CV07-262
Kreye20,CV07-270,CV07-270
Kreye20,CV07-283,CV07-283
Kreye20,CV07-287,CV07-287
Kreye20,CV07-315,CV07-315
Kreye20,CV38-113,CV38-113
Kreye20,CV38-139,CV38-139
Kreye20,CV38-142,CV38-142
Kreye20,CV38-221,CV38-221
Li20b,ab1,ab1
Li20e,13G9,13G9
Li20e,510A5,510A5
Li20e,51D7,51D7
Li20e,58G6,58G6
Li20j,VH-Fc ab8,VH-Fc ab8
Liu20e,MAb-1-20,1-20
Liu20e,MAb-1-57,1-57
Liu20e,MAb-2-15,2-15
Liu20e,MAb-2-17,2-17
Liu20e,MAb-2-7,2-7
Liu20e,MAb-4-8,4-8
Liu20e,MAb-5-24,5-24
Lv20,H014,H014
McCallum21,S309,Sotrovimab
McCallum21,S2L28,S2L28
McCallum21,S2M28,S2M28
McCallum21,S2X27,S2X27
McCallum21,S2X333,S2X333
McCallum21,S2E12,S2E12
McCallum21,S2M11,S2M11
Miao20,89C8-ACE2,89C8-ACE2
