ref_name,rx_name,ab_name
Cao22d,LY-CoV555,Bamlanivimab
Cao22d,LY-CoV016,Etesevimab
Cao22d,REGN10933,Casirivimab
Cao22d,REGN10987,Imdevimab
Cao22d,AZD8895,Tixagevimab
Cao22d,AZD1061,Cilgavimab
Cao22d,VIR-7831,Sotrovimab
Cao22d,BRII-196,Amubarvimab
Cao22d,DXP-604,DXP-604
Cao22d,BD-739,BD-739
Cao22d,C093,C093
Cao22d,COVOX-150,COVOX-150
Cao22d,BD-822,BD-822
Cao22d,BD-715,BD-715
Cao22d,COVA2-04,COVA2-04
Cao22d,CV30,CV30
Cao22d,BD-503,BD-503
Cao22d,BD55-1374,BD55-1374
Cao22d,BD55-1789,BD55-1789
Cao22d,BD-693,BD-693
Cao22d,BD-694,BD-694
Cao22d,C105,C105
Cao22d,C1A-B12,C1A-B12
Cao22d,C1A-B3,C1A-B3
Cao22d,C1A-C2,C1A-C2
Cao22d,C1A-F10,C1A-F10
Cao22d,CC12.1,CC12.1
Cao22d,CC12.3,CC12.3
Cao22d,COV2-2807,COV2-2807
Cao22d,DH1154,DH1154
Cao22d,DH1179,DH1179
Cao22d,DH1210,DH1210
Cao22d,LY-CoV481,LY-CoV481
Cao22d,LY-CoV488,LY-CoV488
Cao22d,P2B-1A10,P2B-1A10
Cao22d,P4A1,P4A1
Cao22d,P5A-3A1,P5A-3A1
Cao22d,B38,B38
Cao22d,BD-236,BD-236
Cao22d,BD-498,BD-498
Cao22d,BD-500,BD-500
Cao22d,BD-508,BD-508
Cao22d,BD-598,BD-598
Cao22d,BD-599,BD-599
Cao22d,BD-605,BD-605
Cao22d,BD-619,BD-619
Cao22d,BD-915,BD-915
Cao22d,BD-930,BD-930
Cao22d,C102,C102
Cao22d,C578,C578
Cao22d,COV2-2113,COV2-2113
Cao22d,COV2-2589,COV2-2589
Cao22d,COV2-2919,COV2-2919
Cao22d,COVOX-269,COVOX-269
Cao22d,COVOX-88,COVOX-88
Cao22d,DH1126,DH1126
Cao22d,DH1140,DH1140
Cao22d,Ehling_mAb-64,Ehling_mAb-64
Cao22d,P5A-2G9,P5A-2G9
Cao22d,BD-504,BD-504
Cao22d,BD-616,BD-616
Cao22d,BD55-1763,BD55-1763
Cao22d,COV2-2308,COV2-2308
Cao22d,COV2-2098,COV2-2098
Cao22d,BD-612,BD-612
Cao22d,WIBP-2B11,WIBP-2B11
Cao22d,BD-614,BD-614
Cao22d,COVOX-222,COVOX-222
Cao22d,BD-618,BD-618
Cao22d,BD55-5293,BD55-5293
Cao22d,BD-369,BD-369
Cao22d,BG4-25,BG4-25
Cao22d,COVOX-253H165L,COVOX-253H165L
Cao22d,CV07-287,CV07-287
Cao22d,C597,C597
Cao22d,CA521,CA521
Cao22d,BD-319,BD-319
Cao22d,BD-833,BD-833
Cao22d,COV2-2684,COV2-2684
Cao22d,CV07-209,CV07-209
Cao22d,CV-X2-106,CV-X2-106
Cao22d,BD-922,BD-922
Cao22d,15033,15033
Cao22d,BD-417,BD-417
Cao22d,BD55-1508,BD55-1508
Cao22d,BD-805,BD-805
Cao22d,BG1-24,BG1-24
Cao22d,C083,C083
Cao22d,COV2-2941,COV2-2941
Cao22d,BD-623,BD-623
Cao22d,COV2-2072,COV2-2072
Cao22d,BD-836,BD-836
Cao22d,COV2-2381,COV2-2381
Cao22d,S2E12,S2E12
Cao22d,COVOX-253H55L,COVOX-253H55L
Cao22d,BD-566,BD-566
Cao22d,BG10-19,BG10-19
Cao22d,BD55-1274,BD55-1274
Cao22d,COV2-2353,COV2-2353
Cao22d,BD55-1694,BD55-1694
Cao22d,C002,C002
Cao22d,P17,P17
Cao22d,2-15,2-15
Cao22d,BD-254,BD-254
Cao22d,BD-362,BD-362
Cao22d,BD-368,BD-368
Cao22d,BD-397,BD-397
Cao22d,BD-403,BD-403
Cao22d,DXP-593,DXP-593
Cao22d,BD55-1579,BD55-1579
Cao22d,BD-791,BD-791
Cao22d,BD-870,BD-870
Cao22d,BD55-4382,BD55-4382
Cao22d,BG7-20,BG7-20
Cao22d,C591,C591
Cao22d,CM32,CM32
Cao22d,COV2-2064,COV2-2064
Cao22d,COV2-2504,COV2-2504
Cao22d,COV2-2539,COV2-2539
Cao22d,COVA2-39,COVA2-39
Cao22d,COVOX-316,COVOX-316
Cao22d,COVOX-384,COVOX-384
Cao22d,CV05-163,CV05-163
Cao22d,CV07-255,CV07-255
Cao22d,DH1173,DH1173
Cao22d,DH1184,DH1184
Cao22d,H4,H4
Cao22d,P2B-2F6,P2B-2F6
Cao22d,P2C-1A3,P2C-1A3
Cao22d,S2H13,S2H13
Cao22d,S2M11,S2M11
Cao22d,BD-790,BD-790
Cao22d,C058,C058
Cao22d,COV2-2391,COV2-2391
Cao22d,COV2-2479,COV2-2479
Cao22d,COV2-2955,COV2-2955
Cao22d,CV07-200,CV07-200
Cao22d,CV07-222,CV07-222
Cao22d,CV07-262,CV07-262
Cao22d,CV07-283,CV07-283
Cao22d,CV07-315,CV07-315
Cao22d,DH1041,DH1041
Cao22d,DH1042,DH1042
Cao22d,DH1043,DH1043
Cao22d,DH1111,DH1111
Cao22d,DH1159-2,DH1159.2
Cao22d,DH1186,DH1186
Cao22d,DH1214,DH1214
Cao22d,BD-536,BD-536
Cao22d,BD-900,BD-900
Cao22d,C121,C121
Cao22d,BD55-1962,BD55-1962
Cao22d,1-57,1-57
Cao22d,BD-817,BD-817
Cao22d,BG7-15,BG7-15
Cao22d,C119,C119
Cao22d,COV2-2499,COV2-2499
Cao22d,COVOX-75,COVOX-75
Cao22d,COV2-2268,COV2-2268
Cao22d,Ehling_mAb-50,Ehling_mAb-50
Cao22d,TAU-2230,TAU-2230
Cao22d,BD55-3457,BD55-3457
Cao22d,BD-643,BD-643
Cao22d,BD-918,BD-918
Cao22d,COV2-2780,COV2-2780
Cao22d,DH1160,DH1160
Cao22d,DH1161-2,DH1161.2
Cao22d,CV07-270,CV07-270
Cao22d,BD-864,BD-864
Cao22d,BD-824,BD-824
Cao22d,BD-812,BD-812
Cao22d,BD-804,BD-804
Cao22d,LY-CoV1404,Bebtelovimab
Cao22d,BD55-1706,BD55-1706
Cao22d,BD55-387,BD55-387
Cao22d,BD55-1104,BD55-1104
Cao22d,BD-467,BD-467
Cao22d,DH1151,DH1151
Cao22d,BD55-1403,BD55-1403
Cao22d,BD55-3149,BD55-3149
Cao22d,BD55-3433,BD55-3433
Cao22d,BD55-3440,BD55-3440
Cao22d,BD55-3451,BD55-3451
Cao22d,BD55-4281,BD55-4281
Cao22d,BD55-5382,BD55-5382
Cao22d,BD55-3546,BD55-3546
Cao22d,BD55-5195,BD55-5195
Cao22d,BD55-5228,BD55-5228
Cao22d,BD55-3637,BD55-3637
Cao22d,BD55-4285,BD55-4285
Cao22d,C110,C110
Cao22d,BD-748,BD-748
Cao22d,BD55-3152,BD55-3152
Cao22d,BD-744,BD-744
Cao22d,BD55-5386,BD55-5386
Cao22d,BD-932,BD-932
Cao22d,BD-914,BD-914
Cao22d,BD-713,BD-713
Cao22d,BD-796,BD-796
Cao22d,BD-923,BD-923
Cao22d,BD-907,BD-907
Cao22d,BD55-5319,BD55-5319
Cao22d,C576,C576
Cao22d,DH1044,DH1044
Cao22d,C581,C581
Cao22d,C556,C556
Cao22d,DH1193,DH1193
Cao22d,BD-815,BD-815
Cao22d,BD55-4325,BD55-4325
Cao22d,COV2-2389,COV2-2389
