ref_name,rx_name,ab_name
Dussupt21,2004,2004
Dussupt21,2008,2008
Dussupt21,2025,2025
Dussupt21,2035,2035
Dussupt21,2037,2037
Dussupt21,2039,2039
Dussupt21,2196,2196
Dussupt21,2123,2123
Dussupt21,2125,2125
Dussupt21,2165,2165
Dussupt21,2173,2173
Dussupt21,2057,2057
Dussupt21,2063,2063
Dussupt21,2151,2151
Dussupt21,2039+2125,2039
Dussupt21,2039+2125,2125
Dussupt21,2173+2125,2173
Dussupt21,2173+2125,2125
Dussupt21,2123+2125,2123
Dussupt21,2123+2125,2125
Dussupt21,2125+2151,2151
Dussupt21,2125+2151,2125
