ref_name,rx_name,ab_name
Collier21,4A8,4A8
Collier21,S2L26,S2L26
Collier21,S2L50,S2L50
Collier21,S2M28,S2M28
Collier21,S2X107,S2X107
Collier21,S2X124,S2X124
Collier21,S2X158,S2X158
Collier21,S2X28,S2X28
Collier21,S2X303,S2X303
Collier21,S2X333,S2X333
Collier21,S2D106,S2D106
Collier21,S2D19,S2D19
Collier21,S2D32,S2D32
Collier21,S2D65,S2D65
Collier21,S2D8,S2D8
Collier21,S2D97,S2D97
Collier21,S2E11,S2E11
Collier21,S2E12,S2E12
Collier21,S2E13,S2E13
Collier21,S2E16,S2E16
Collier21,S2E23,S2E23
Collier21,S2H14,S2H14
Collier21,S2H19,S2H19
Collier21,S2H58,S2H58
Collier21,S2H7,S2H7
Collier21,S2H70,S2H70
Collier21,S2H71,S2H71
Collier21,S2M11,S2M11
Collier21,S2N12,S2N12
Collier21,S2N22,S2N22
Collier21,S2N28,S2N28
Collier21,S2X128,S2X128
Collier21,S2X16,S2X16
Collier21,S2X192,S2X192
Collier21,S2X227,S2X227
Collier21,S2X246,S2X246
Collier21,S2X30,S2X30
Collier21,S2X324,S2X324
Collier21,S2X58,S2X58
Collier21,S2H90,S2H90
Collier21,S2H94,S2H94
Collier21,S2H97,S2H97
Collier21,S2K15,S2K15
Collier21,S2K21,S2K21
Collier21,S2K30,S2K30
Collier21,S2K63v2,S2K63v2
Collier21,S2L17,S2L17
Collier21,S2L49,S2L49
Collier21,S2X259,S2X259
Collier21,S2X305,S2X305
Collier21,S2X35,S2X35
Collier21,S2X450,S2X450
Collier21,S2X475,S2X475
Collier21,S2X607,S2X607
Collier21,S2X608,S2X608
Collier21,S2X609,S2X609
Collier21,S2X613,S2X613
Collier21,S2X615,S2X615
Collier21,S2X619,S2X619
Collier21,S2X620,S2X620
