ref_name,rx_name,ab_name
Entzminger23,C-A11,C-A11
Entzminger23,hN2Y,hN2Y
Entzminger23,LxC1-G10,LxC1-G10
Entzminger23,6R8A-A2,6R8A-A2
Entzminger23,6R8A-E1,6R8A-E1
Entzminger23,6R8A-E11,6R8A-E11
Entzminger23,6R8C-D10,6R8C-D10
Entzminger23,6R8C-G8,6R8C-G8
Entzminger23,6R9A-A2,6R9A-A2
Entzminger23,6R9E-A8,6R9E-A8
Entzminger23,bebtelovimab,Bebtelovimab
