ref_name,rx_name,ab_name
Arora22f,Casirivimab,Casirivimab
Arora22f,Imdevimab,Imdevimab
Arora22f,Bamlanivimab,Bamlanivimab
Arora22f,Etesevimab,Etesevimab
Arora22f,Cilgavimab,Cilgavimab
Arora22f,Tixagevimab,Tixagevimab
Arora22f,Amubarvimab,Amubarvimab
Arora22f,Romlusevimab,Romlusevimab
Arora22f,Adintrevimab,Adintrevimab
Arora22f,Regdanvimab,Regdanvimab
Arora22f,Bebtelovimab,Bebtelovimab
Arora22f,Sotrovimab,Sotrovimab
Arora22f,Casirivimab–imdevimab,Casirivimab
Arora22f,Casirivimab–imdevimab,Imdevimab
Arora22f,Bamlanivimab–etesevimab,Bamlanivimab
Arora22f,Bamlanivimab–etesevimab,Etesevimab
Arora22f,Cilgavimab–tixagevimab,Cilgavimab
Arora22f,Cilgavimab–tixagevimab,Tixagevimab
Arora22f,Amubarvimab–romlusevimab,Amubarvimab
Arora22f,Amubarvimab–romlusevimab,Romlusevimab
