ref_name,rx_name,ab_name
Changrob21,S24-1301,S24-1301
Changrob21,S166-32,S166-32
Changrob21,S305-1456,S305-1456
Changrob21,S144-1079,S144-1079
Changrob21,S144-1339,S144-1339
Changrob21,S144-1406,S144-1406
Changrob21,S144-1407,S144-1407
Changrob21,S20-58,S20-58
Changrob21,S24-1224,S24-1224
Changrob21,S24-1476,S24-1476
Changrob21,S564-134,S564-134
Changrob21,S564-138,S564-138
Changrob21,S564-265,S564-265
Changrob21,S564-68,S564-68
Changrob21,S24-821,S24-821
Changrob21,S20-74,S20-74
Changrob21,S262-651,S262-651
Changrob21,S626-747,S626-747
