ref_name,rx_name,ab_name
Gruell22b,Bamlanivimab,Bamlanivimab
Gruell22b,Etesevimab,Etesevimab
Gruell22b,Bebtelovimab,Bebtelovimab
Gruell22b,Imdevimab,Imdevimab
Gruell22b,Casirivimab,Casirivimab
Gruell22b,Sotrovimab,Sotrovimab
Gruell22b,Tixagevimab,Tixagevimab
Gruell22b,Cilgavimab,Cilgavimab
Gruell22b,Regdanvimab,Regdanvimab
Gruell22b,DZIF-10c,DZIF-10c
Gruell22b,BRII-196,Amubarvimab
Gruell22b,C135,C135
Gruell22b,C144,C144
Gruell22b,COV2-2381,COV2-2381
Gruell22b,ADG-2,Adintrevimab
Gruell22b,47D11,ABBV-47D11
Gruell22b,BD-368-2,BD-368-2
Gruell22b,MAD0004J08,MAD0004J08
Gruell22b,2-7,2-7
Gruell22b,2-15,2-15
Gruell22b,2-30,2-30
Gruell22b,2-36,2-36
Gruell22b,2-38,2-38
Gruell22b,2-43,2-43
Gruell22b,4-20,4-20
Gruell22b,B38,B38
Gruell22b,BD-236,BD-236
Gruell22b,BD23,BD23
Gruell22b,C002,C002
Gruell22b,C022,C022
Gruell22b,C101,C101
Gruell22b,C102,C102
Gruell22b,C104,C104
Gruell22b,C105,C105
Gruell22b,C123,C123
Gruell22b,C125,C125
Gruell22b,C128,C128
Gruell22b,C140,C140
Gruell22b,C155,C155
Gruell22b,C165,C165
Gruell22b,C210,C210
Gruell22b,CC6.31,CC6.31
Gruell22b,CC6.33,CC6.33
Gruell22b,CC12.4,CC12.4
Gruell22b,CnC2t1p1_B4,CnC2t1p1_B4
Gruell22b,CnC2t1p1_D6,CnC2t1p1_D6
Gruell22b,CnC2t1p1_E8,CnC2t1p1_E8
Gruell22b,CnC2t1p1_E12,CnC2t1p1_E12
Gruell22b,CnC2t1p1_G6,CnC2t1p1_G6
Gruell22b,COV2-2050,COV2-2050
Gruell22b,COV2-2064,COV2-2064
Gruell22b,COV2-2068,COV2-2068
Gruell22b,COV2-2098,COV2-2098
Gruell22b,COV2-2268,COV2-2268
Gruell22b,COV2-2308,COV2-2308
Gruell22b,COV2-2354,COV2-2354
Gruell22b,COV2-2479,COV2-2479
Gruell22b,COV2-2499,COV2-2499
Gruell22b,COV2-2531,COV2-2531
Gruell22b,COV2-2539,COV2-2539
Gruell22b,COV2-2562,COV2-2562
Gruell22b,COV2-2677,COV2-2677
Gruell22b,COV2-2678,COV2-2678
Gruell22b,COV2-2752,COV2-2752
Gruell22b,COV2-2841,COV2-2841
Gruell22b,COV2-2919,COV2-2919
Gruell22b,COV2-2952,COV2-2952
Gruell22b,COV2-2955,COV2-2955
Gruell22b,COVA2-29,COVA2-29
Gruell22b,CV-X2-106,CV-X2-106
Gruell22b,CV07-262,CV07-262
Gruell22b,CV07-270,CV07-270
Gruell22b,CV38-139,CV38-139
Gruell22b,CV38-142,CV38-142
Gruell22b,DH1042,DH1042
Gruell22b,DH1128,DH1128
Gruell22b,DH1138,DH1138
Gruell22b,DH1184,DH1184
Gruell22b,DH1210,DH1210
Gruell22b,FnC1t2p1_D4,FnC1t2p1_D4
Gruell22b,FnC1t2p1_G5,FnC1t2p1_G5
Gruell22b,GW01,GW01
Gruell22b,HbnC2t1p2_D9,HbnC2t1p2_D9
Gruell22b,HbnC3t1p1_C6,HbnC3t1p1_C6
Gruell22b,HbnC3t1p1_G4,HbnC3t1p1_G4
Gruell22b,HbnC3t1p2_B10,HbnC3t1p2_B10
Gruell22b,HbnC3t1p2_C6,HbnC3t1p2_C6
Gruell22b,MnC1t3p1_G9,MnC1t3p1_G9
Gruell22b,MnC2t1p1_A3,MnC2t1p1_A3
Gruell22b,MnC2t1p1_C5,MnC2t1p1_C5
Gruell22b,MnC2t2p1_C11,MnC2t2p1_C11
Gruell22b,MnC4t2p1_B3,MnC4t2p1_B3
Gruell22b,MnC4t2p1_D10,MnC4t2p1_D10
Gruell22b,MnC4t2p1_E6,MnC4t2p1_E6
Gruell22b,MnC4t2p2_A4,MnC4t2p2_A4
Gruell22b,MnC5t2p1_G1,MnC5t2p1_G1
Gruell22b,P2B-2F6,P2B-2F6
Gruell22b,R40-1A1,R40-1A1
Gruell22b,R40-1A8,R40-1A8
Gruell22b,R40-1B4,R40-1B4
Gruell22b,R40-1B9,R40-1B9
Gruell22b,R40-1C8,R40-1C8
Gruell22b,R40-1D3,R40-1D3
Gruell22b,R40-1E1,R40-1E1
Gruell22b,R40-1E4,R40-1E4
Gruell22b,R40-1G6,R40-1G6
Gruell22b,R40-1G8,R40-1G8
Gruell22b,R40-1G12,R40-1G12
Gruell22b,R40-1H4,R40-1H4
Gruell22b,R121-1F1,R121-1F1
Gruell22b,R121-3F7,R121-3F7
Gruell22b,R121-3F11,R121-3F11
Gruell22b,R121-3G2,R121-3G2
Gruell22b,R200-1B8,R200-1B8
Gruell22b,R200-1B9,R200-1B9
Gruell22b,R200-1F9,R200-1F9
Gruell22b,R200-1G11,R200-1G11
Gruell22b,R200-4F4,R200-4F4
Gruell22b,R207-1C1,R207-1C1
Gruell22b,R207-1C4,R207-1C4
Gruell22b,R207-1G1,R207-1G1
Gruell22b,R207-2A6,R207-2A6
Gruell22b,R207-2A10,R207-2A10
Gruell22b,R207-2C2,R207-2C2
Gruell22b,R207-2F11,R207-2F11
Gruell22b,R207-2G4,R207-2G4
Gruell22b,R207-2H1,R207-2H1
Gruell22b,R259-1B9,R259-1B9
Gruell22b,R339-1B11,R339-1B11
Gruell22b,R339-3B5,R339-3B5
Gruell22b,R339-3C6,R339-3C6
Gruell22b,R410-1A8,R410-1A8
Gruell22b,R568-1A9,R568-1A9
Gruell22b,R568-1B3,R568-1B3
Gruell22b,R568-1C6,R568-1C6
Gruell22b,R568-1E8,R568-1E8
Gruell22b,R568-1G9,R568-1G9
Gruell22b,R568-2A1,R568-2A1
Gruell22b,R568-2A3,R568-2A3
Gruell22b,R568-2B9,R568-2B9
Gruell22b,R568-2B11,R568-2B11
Gruell22b,R568-2E1,R568-2E1
Gruell22b,R568-2E7,R568-2E7
Gruell22b,R568-2F1,R568-2F1
Gruell22b,R568-2G5,R568-2G5
Gruell22b,R568-2G11,R568-2G11
Gruell22b,R616-1A11,R616-1A11
Gruell22b,R616-1D6,R616-1D6
Gruell22b,R616-1F10,R616-1F10
Gruell22b,R616-1G4,R616-1G4
Gruell22b,R849-1C11,R849-1C11
Gruell22b,R849-1G7,R849-1G7
Gruell22b,R849-1H1,R849-1H1
Gruell22b,R849-3H2,R849-3H2
Gruell22b,REGN10954,REGN10954
Gruell22b,REGN10955,REGN10955
Gruell22b,REGN10964,REGN10964
Gruell22b,REGN10970,REGN10970
Gruell22b,REGN10971,REGN10971
Gruell22b,REGN10977,REGN10977
Gruell22b,REGN10986,REGN10986
Gruell22b,REGN10989,REGN10989
Gruell22b,S2X35,S2X35
