ref_name,rx_name,ab_name
Graham21,P054_004,P054_004
Graham21,P054_027,P054_027
Graham21,P054_003,P054_003
Graham21,P003_017,P003_017
Graham21,P008_003,P008_003
Graham21,P008_018,P008_018
Graham21,P008_042,P008_042
Graham21,P008_047,P008_047
Graham21,P008_067,P008_067
Graham21,P008_081,P008_081
Graham21,P008_083,P008_083
Graham21,P008_090,P008_090
Graham21,P008_108,P008_108
Graham21,P054_022,P054_022
Graham21,P008_015,P008_015
Graham21,P008_038,P008_038
Graham21,P008_087,P008_087
Graham21,P008_096,P008_096
Graham21,P008_039,P008_039
Graham21,P008_051,P008_051
Graham21,P008_052,P008_052
Graham21,P003_027,P003_027
Graham21,P008_007,P008_007
Graham21,P054_021,P054_021
Graham21,P008_060,P008_060
