ref_name,rx_name,ab_name
Mlcochova21,S2X107,S2X107
Mlcochova21,S2X28,S2X28
Mlcochova21,S2X333,S2X333
Mlcochova21,S2H7,S2H7
Mlcochova21,S2H14,S2H14
Mlcochova21,S2D19,S2D19
Mlcochova21,S2X192,S2X192
Mlcochova21,S2H19,S2H19
Mlcochova21,S2E12,S2E12
Mlcochova21,S2X615,S2X615
Mlcochova21,S2X128,S2X128
Mlcochova21,S2D8,S2D8
Mlcochova21,S2H58,S2H58
Mlcochova21,S2N28,S2N28
Mlcochova21,S2M11,S2M11
Mlcochova21,S2D106,S2D106
Mlcochova21,S2D32,S2D32
Mlcochova21,S2N22,S2N22
Mlcochova21,S2D97,S2D97
Mlcochova21,S2H71,S2H71
Mlcochova21,S2H70,S2H70
Mlcochova21,S2X58,S2X58
Mlcochova21,S2N12,S2N12
Mlcochova21,S2X30,S2X30
Mlcochova21,Etesevimab,Etesevimab
Mlcochova21,Casirivimab,Casirivimab
Mlcochova21,Regdanvimab,Regdanvimab
Mlcochova21,Imdevimab,Imdevimab
Mlcochova21,Bamlanivimab,Bamlanivimab
Mlcochova21,S309,Sotrovimab
Mlcochova21,S2X35,S2X35
Mlcochova21,S2H94,S2H94
Mlcochova21,S2X259,S2X259
Mlcochova21,S2H97,S2H97
Mlcochova21,S2X609,S2X609
Mlcochova21,S2X608,S2X608
Mlcochova21,S2X619,S2X619
Mlcochova21,S2X305,S2X305
