ref_name,rx_name,ab_name
Arora22b,Regdanvimab,Regdanvimab
Arora22b,Sotrovimab,Sotrovimab
Arora22b,Casirivimab,Casirivimab
Arora22b,Imdevimab,Imdevimab
Arora22b,Casirivimab/Imdevimab,Casirivimab
Arora22b,Casirivimab/Imdevimab,Imdevimab
Arora22b,Bamlanivimab,Bamlanivimab
Arora22b,Etesevimab,Etesevimab
Arora22b,Bamlanivimab/Etesevimab,Bamlanivimab
Arora22b,Bamlanivimab/Etesevimab,Etesevimab
Arora22b,Cilgavimab,Cilgavimab
Arora22b,Tixagevimab,Tixagevimab
Arora22b,Cilgavimab/Tixagevimab,Cilgavimab
Arora22b,Cilgavimab/Tixagevimab,Tixagevimab
